date,artificial intelligence,crime,education,elections,entertainment,environment,finance,health,immigration,international relations,pandemics,politics,protests,science,sports,technology,videogames,war
2024-03-28,,,,,relic entertainment was sold by sega to an unspecified investor employees were laid off across multiple sega europe studios,,,,,,,,,lhs b is confirmed as the first tidally locked superearth exoplanet,major league baseball season baseball domestic winner los angeles dodgers,,,
2024-03-30,,,,,,,,,,,,,,,world athletics cross country championships athletics international winner men jacob kiplimowomen beatrice chebet tokyo eprix fe formula racing international winner maximilian günther maserati msg racing,,,
2024-03-31,,millions of att customers are affected by a data breach that leaked onto the dark web,,turkish local elections,,,,,,,,,,,,,,
2024-04-01,,,,,,,,,,,,,,,,,,israel attacks the iranian embassy in damascus killing people israel attacks the iranian embassy in damascus killing people
2024-04-02,,,,,,,,general electric splits into three independent companies ge aerospace ge vernova and ge healthcare,,,,pakistani senate election,,,,,,
2024-04-03,,,,,,a powerful earthquake with a magnitude of strikes off the eastern coast of taiwan with small tsunamis reaching heights of cm in hitting okinawa prefecture japan the united states army corps of engineers begins dredging the san juan bay in puerto rico to open space for a new natural gas terminal that is expected to add million to the local economy a powerful earthquake with a magnitude of strikes off the eastern coast of taiwan with small tsunamis reaching heights of cm in hitting okinawa prefecture japan,,,,,,,,,,nasa selects three companies intuitive machines lunar outpost and venturi astrolab to develop its lunar terrain vehicle for use in crewed artemis missions from onwards,,
2024-04-04,,,,belarusian council of the republic election kuwaiti general election kuwaiti general election opposition candidates maintain a majority in the national assembly kuwaiti general election,,,,,,,,,,,,,,
2024-04-05,,,,,,,,,,ecuadorian police raid the mexican embassy in quito in order to arrest former vicepresident jorge glas who had been granted political asylum by mexico this action violates the vienna convention on diplomatic relations and mexico and nicaragua break off diplomatic relations with ecuador,,,,a numerical toolkit designed for modelling warp drive spacetimes is introduced in classical and quantum gravity,,,,
2024-04-06,,,,peter pellegrini is elected president of slovakia in the second round of the slovak presidential election,,,,,,,,,,,,,,
2024-04-07,,,,,,,,,,,,,,,japanese grand prix f formula racing international winner max verstappen red bull racinghonda rbpt in womens college basketball south carolina wins the national championship to complete their perfect season only the th perfect season in ncaa womens basketball history montecarlo masters tennis international winner stefanos tsitsipas,,,
2024-04-08,,,,,,a total solar eclipse is visible across north america,,,,,,,,,,,,
2024-04-09,,,,,,the european court of human rights rules that countries must better protect their people from climate change in a landmark climate justice case against switzerland,,a rare genetic variation in a gene that makes fibronectin is shown to reduce the odds of developing alzheimers disease by over,,,,after leo varadkar resigned fine gael leader simon harris becomes irelands youngest taoiseach after a dáil vote of and being appointed by president michael d higgins,,,,,nintendo discontinued the online services for nintendo ds and wii u software,
2024-04-10,,,,south korean legislative election the democratic party and democratic alliance wins seats while the people power and people future to which president yoon suk yeol belongs wins only seats south korean legislative election the democratic party and democratic alliance wins seats while the people power and people future to which president yoon suk yeol belongs wins only seats,,at least one person is killed by flooding in mississippi as severe storms hit the south,,,,,,south korean legislative election,,,,,,
2024-04-11,,,,,sabrina carpenter releases her single espresso,,,,,,,,,the first nitrogenfixing organelle in a marine alga is reported the nitroplast the early evolutionary stage organelle provides a view into the transition from an endosymbiont into a proper organelle that receives about half of its proteins from the alga,masters tournament golf international winner scottie scheffler south american under womens football championship association football continental winner brazil,,,
